City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
25,Namie,JP,2021-11-28 00:58:58,37.4833,141.0,46.94,59,9,13.24
26,Port Elizabeth,ZA,2021-11-28 00:58:59,-33.918,25.5701,62.89,72,0,6.91
27,Hilo,US,2021-11-28 00:56:30,19.7297,-155.09,75.02,79,41,3.56
28,Busselton,AU,2021-11-28 00:58:59,-33.65,115.3333,79.86,43,25,4.76
29,Dakar,SN,2021-11-28 00:59:00,14.6937,-17.4441,78.93,83,0,13.8
30,Petawawa,CA,2021-11-28 00:59:00,45.9001,-77.3328,18.99,79,1,4.61
31,Kilgore,US,2021-11-28 00:59:00,32.3863,-94.8758,49.28,53,100,6.6
32,Coihaique,CL,2021-11-28 00:59:01,-45.5752,-72.0662,53.55,43,75,6.91
33,Kutum,SD,2021-11-28 00:59:01,14.2,24.6667,62.51,23,0,7.81
34,Barrow,US,2021-11-28 00:59:01,71.2906,-156.7887,-12.12,99,100,7.87
35,Nouakchott,MR,2021-11-28 00:59:02,18.0858,-15.9785,73.33,44,0,18.19
36,Hithadhoo,MV,2021-11-28 00:59:02,-0.6,73.0833,81.68,71,97,17.2
37,Iraquara,BR,2021-11-28 00:59:02,-12.2486,-41.6194,68.86,94,100,3.65
38,Mahebourg,MU,2021-11-28 00:59:03,-20.4081,57.7,71.89,88,20,4.61
39,Kavaratti,IN,2021-11-28 00:59:03,10.5669,72.642,82.65,73,100,11.52
40,Ahipara,NZ,2021-11-28 00:59:04,-35.1667,173.1667,70.93,57,93,4.68
41,Arraial Do Cabo,BR,2021-11-28 00:59:04,-22.9661,-42.0278,71.87,92,91,9.71
42,Bethel,US,2021-11-28 00:59:04,41.3712,-73.414,29.23,63,5,8.59
43,Vallenar,CL,2021-11-28 00:57:45,-28.5708,-70.7581,69.42,43,0,2.35
44,Tungor,RU,2021-11-28 00:59:05,53.3808,142.9564,29.1,71,33,16.13
45,Waycross,US,2021-11-28 01:00:06,31.2136,-82.354,45.07,81,1,0.0
46,Huarmey,PE,2021-11-28 01:00:06,-10.0681,-78.1522,67.03,83,100,9.35
47,New Norfolk,AU,2021-11-28 01:00:06,-42.7826,147.0587,65.7,38,0,2.71
48,Cidreira,BR,2021-11-28 01:00:07,-30.1811,-50.2056,69.48,94,100,7.94
49,Nong Khai,TH,2021-11-28 01:00:07,17.9167,103.0833,66.27,71,100,4.27
50,Mar Del Plata,AR,2021-11-28 01:00:04,-38.0023,-57.5575,61.74,93,100,17.67
51,Broken Hill,AU,2021-11-28 01:00:08,-31.95,141.4333,71.26,42,60,17.22
52,Medea,DZ,2021-11-28 01:00:08,36.2642,2.7539,39.65,83,100,10.74
53,Olinda,BR,2021-11-28 01:00:09,-8.0089,-34.8553,82.13,18,40,9.22
54,Chapais,CA,2021-11-28 01:00:09,49.7834,-74.8492,18.81,83,100,14.63
55,Aklavik,CA,2021-11-28 01:00:10,68.2191,-135.0107,-11.2,83,100,17.43
56,Butaritari,KI,2021-11-28 01:00:10,3.0707,172.7902,82.29,72,50,18.41
57,Cayenne,GF,2021-11-28 01:00:11,4.9333,-52.3333,80.64,83,20,3.44
58,Port Alfred,ZA,2021-11-28 01:00:11,-33.5906,26.891,66.07,71,96,9.82
59,Provideniya,RU,2021-11-28 01:00:12,64.3833,-173.3,-4.68,82,11,6.44
60,Cape Town,ZA,2021-11-28 00:59:19,-33.9258,18.4232,63.01,94,75,16.11
61,Mehamn,NO,2021-11-28 00:57:46,71.0357,27.8492,15.17,87,53,12.28
62,Bambous Virieux,MU,2021-11-28 01:00:13,-20.3428,57.7575,76.21,73,0,6.55
63,Komsomolskiy,UZ,2021-11-28 01:00:13,40.4272,71.7189,29.62,56,15,0.65
64,Moberly,US,2021-11-28 01:00:14,39.4184,-92.4382,53.02,50,1,9.22
65,Palmer,US,2021-11-28 01:00:14,42.1584,-72.3287,25.66,70,3,8.75
66,Sitka,US,2021-11-28 01:00:14,57.0531,-135.33,35.49,87,90,5.75
67,Vaini,TO,2021-11-28 01:00:15,-21.2,-175.2,79.65,78,94,18.28
68,Johannesburg,ZA,2021-11-28 01:00:15,-26.2023,28.0436,55.08,76,100,12.24
69,Kamenka,RU,2021-11-28 00:59:37,51.3223,42.7678,36.75,95,100,14.92
70,Santa Rosa,PH,2021-11-28 00:59:31,14.3122,121.1114,82.38,89,100,6.87
71,Tiksi,RU,2021-11-28 01:00:16,71.6872,128.8694,-7.64,96,100,6.82
72,Fortuna,US,2021-11-28 00:56:38,40.5982,-124.1573,58.12,100,1,0.0
73,Luderitz,NA,2021-11-28 01:00:17,-26.6481,15.1594,59.27,86,6,3.83
74,Broome,US,2021-11-28 00:57:09,42.2506,-75.833,29.17,81,95,2.95
75,Vitim,RU,2021-11-28 01:00:18,59.4511,112.5578,7.61,93,100,8.66
76,Lovozero,RU,2021-11-28 01:00:18,68.005,35.0117,0.97,95,100,3.0
77,Coahuayana,MX,2021-11-28 01:00:19,18.7333,-103.6833,75.22,83,1,1.43
78,Serro,BR,2021-11-28 01:00:19,-18.6047,-43.3794,61.43,98,14,3.2
79,Mayor Pablo Lagerenza,PY,2021-11-28 01:00:19,-19.9309,-60.7718,84.47,55,5,11.54
80,Bathsheba,BB,2021-11-28 00:58:25,13.2167,-59.5167,74.01,83,40,12.66
81,Longyearbyen,SJ,2021-11-28 01:00:20,78.2186,15.6401,12.04,67,40,23.02
82,Kahului,US,2021-11-28 01:00:20,20.8947,-156.47,75.06,70,43,4.56
83,Dikson,RU,2021-11-28 01:00:21,73.5069,80.5464,-12.93,97,100,9.01
84,Llandrindod Wells,GB,2021-11-28 01:00:21,52.2416,-3.3787,30.4,77,31,10.38
85,Flinders,AU,2021-11-28 01:00:22,-34.5833,150.8552,61.3,79,96,11.81
