City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tual,ID,-5.6667,132.75,83.53,71,100,3.42,overcast clouds
80,Bethel,US,41.3712,-73.414,37.49,62,81,10.92,broken clouds
81,Valera,VE,9.3178,-70.6036,81.16,79,94,3.0,overcast clouds
82,Bluff,NZ,-46.6,168.3333,55.9,82,97,11.59,moderate rain
83,Carnarvon,AU,-24.8667,113.6333,71.83,73,1,22.08,clear sky
84,Xinqing,CN,48.2333,129.5,7.21,90,100,0.81,overcast clouds
85,Bowen,AU,-20.0167,148.2333,78.98,79,30,10.22,scattered clouds
86,Aklavik,CA,68.2191,-135.0107,-26.3,92,89,3.2,overcast clouds
87,Sakakah,SA,29.9697,40.2064,67.53,28,50,3.36,scattered clouds
88,Robertsport,LR,6.7533,-11.3686,82.18,74,94,7.56,overcast clouds
89,Vaini,TO,-21.2,-175.2,75.2,68,92,17.6,overcast clouds
90,Vao,NC,-22.6667,167.4833,76.01,90,97,16.98,overcast clouds
91,Egvekinot,RU,66.3167,-179.1667,-7.33,76,100,4.63,overcast clouds
92,Butaritari,KI,3.0707,172.7902,81.36,80,68,11.81,broken clouds
93,Bafq,IR,31.6128,55.4107,60.12,40,3,5.48,clear sky
94,Havelock,US,34.8791,-76.9013,49.73,29,14,12.06,few clouds
95,Novikovo,RU,51.1537,37.8879,53.15,86,100,24.32,overcast clouds
96,Sitka,US,57.0531,-135.33,32.41,85,100,6.24,overcast clouds
97,New Norfolk,AU,-42.7826,147.0587,47.25,98,26,2.73,scattered clouds
98,Nome,US,64.5011,-165.4064,-17.01,87,21,6.17,few clouds
99,Bafra,TR,41.5678,35.9069,74.37,34,100,20.47,overcast clouds
100,Ostrovnoy,RU,68.0531,39.5131,4.68,74,29,6.87,scattered clouds
101,Luba,GQ,3.4568,8.5547,80.85,84,92,8.79,light rain
102,Jamestown,US,42.097,-79.2353,30.29,84,72,7.78,broken clouds
103,Kalmunai,LK,7.4167,81.8167,77.95,83,61,3.89,broken clouds
104,Ribeira Grande,PT,38.5167,-28.7,62.51,54,92,4.81,overcast clouds
105,Yellowknife,CA,62.456,-114.3525,-6.59,91,91,15.19,overcast clouds
106,Pyshma,RU,56.9523,63.2513,30.43,93,98,6.53,overcast clouds
107,Winsum,NL,53.33,6.5208,39.72,78,100,6.82,overcast clouds
108,Rincon,US,32.296,-81.2354,58.23,38,39,5.68,scattered clouds
109,Vila Do Maio,CV,15.1333,-23.2167,75.65,69,96,20.92,overcast clouds
110,Vestmannaeyjar,IS,63.4427,-20.2734,36.95,97,100,28.88,heavy intensity rain
111,Ureki,GE,41.9956,41.7786,60.94,63,84,10.25,broken clouds
