City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
226,Pisco,PE,72.95,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
227,Sao Joao Da Barra,BR,78.37,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
230,Palu,ID,73.6,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
232,Magaria,NE,79.21,few clouds,12.9983,8.9099,Chez Honorable Chapiou
233,Bhatkal,IN,77.52,overcast clouds,13.9667,74.5667,Nilawar Palace
234,San Pedro,PH,76.73,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
235,Sibiti,CG,70.65,light rain,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
237,Broken Hill,AU,68.72,clear sky,-31.95,141.4333,Royal Exchange Hotel
242,Santa Rosa,PH,77.23,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
244,Axim,GH,79.86,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
247,Vila Velha,BR,79.74,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
250,Chibombo,ZM,75.34,few clouds,-14.6569,28.0706,Chibombo District Council Guest House
252,Deniliquin,AU,63.36,clear sky,-35.5333,144.9667,Riviana Motel
257,Grand Gaube,MU,78.39,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
261,Lebu,CL,60.37,broken clouds,-37.6167,-73.65,Hostal Las Lilas
262,Dalbandin,PK,62.04,overcast clouds,28.8947,64.4101,Gidaan Guest House
267,Sungaipenuh,ID,61.72,broken clouds,-2.0833,101.3833,penginapan citra alam
268,Santa Maria,BR,76.42,broken clouds,-29.6842,-53.8069,Hotel Morotin
269,Chicama,PE,76.62,broken clouds,-7.8447,-79.1469,Balihai Bungalows
271,Balabac,PH,79.45,scattered clouds,7.9868,117.0645,Sing and Swing Lodge
275,Half Moon Bay,US,62.65,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
277,Los Llanos De Aridane,ES,63.07,scattered clouds,28.6585,-17.9182,Valle Aridane
280,Venice,US,67.06,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
281,Enid,US,68.63,clear sky,36.3956,-97.8784,Ramada by Wyndham Enid
282,San Patricio,US,64.04,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
283,Lompoc,US,72.59,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
289,Tagusao,PH,79.48,broken clouds,9.1924,117.8141,Toledo
291,Hambantota,LK,78.28,overcast clouds,6.1241,81.1185,Bungalow 63
293,Calvinia,ZA,64.09,scattered clouds,-31.4707,19.776,Die Lemoenhuis
294,Geraldton,AU,65.55,few clouds,-28.7667,114.6,Broadwater Mariner Resort
296,Auki,SB,77.52,broken clouds,-8.7676,160.7034,Auki Motel
310,El Alto,PE,74.32,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
